key,amenfeat_1,amenfeat_2,amenfeat_3,amenfeat_4,amenfeat_5,amenfeat_6,amenfeat_7,lon,lat,title
13,Cruisy Area,(B),(AYOR),,,,,-86.654702,32.434025,Autaugaville Rec. Park
14,(B),Cruisy Area,,,,,,-86.654702,32.434025,Jr. Food Store
60,(L),(B),,,,,,-88.0423188,30.6905321,Society Lounge
533,(B),(D),,,,,,-118.3241187,34.0478288,Catch One
538,(B),(RT),,,,,,-118.243685,34.052234,Waldorf
865,(B),,,,,,,-122.4248482,37.7710827,Eagle Creek Saloon
1276,(D),(B),,,,,,-104.9838516,39.7505682,Taste
1333,(*),(D),(SM),(B),,,,-72.6871371,41.7613444,Barrister's
1418,(R),(B),,,,,,-76.9949619,38.8827239,Back Door Pub
1420,(B),(D),,,,,,-77.0449327,38.9380912,Brass Rail
1429,(B),(D),(WE),,,,,-76.9938499,38.9364058,Delta Elite
1459,(B),(R),,,,,,-77.0279925,38.9299041,Nob Hill
1611,(*),(YC),(D),(V),(S),(B),,-81.7134144,30.3084697,College Station
1617,(P),(YC),(D),(WE),(*),(B),,-81.6659391,30.327413,Old Plantation
1630,(M),(D),(B),(AH),(*),,,-81.685681,24.573589,Boca Chica
1697,(M),(B),,,,,,-80.057574,26.614962,23 S. Dixie Hwy.
1888,(D),(B),(L),,,,,-82.4869759,27.9451655,Rene's
1959,(B),(E),,,,,,-84.3913157,33.7645276,Festival Lounge
1971,(B),,,,,,,-84.3881113,33.7813223,Loretta's on Peachtree
1978,(B),(N),(OC),,,,,-84.3897785,33.7579027,Pear Garden
2017,(B),,,,,,,-84.992222,32.4708646,Deep Purple
2029,(B),(L),(D),,,,,-81.0893058,32.0788087,Lucas Cafe
2203,(B),(D),,,,,,-87.6496011,41.9394796,Club La Ray
2272,(B),,,,,,,-87.6258849,41.7928342,Martin's Den
2273,(L),(YC),(B),,,,,-87.6047244,41.7474122,Willie's Lounge
2634,(B),,,,,,,-85.7982646,38.1970825,Adult Toy Store
2677,(YC),(L),(B),(D),(S),(PT),,-91.1804144,30.4271641,Neimans
2857,(B),,,,,,,-76.6121893,39.2903848,G & G
2864,(B),,,,,,,-76.6223483,39.2945389,Hats
2869,(WE),(AH),(B),(L),,,,-76.6215737,39.2962728,Last Stop
2878,(L),(B),(D),,,,,-76.5841183,39.283047,Numbers
2879,(B),,,,,,,-76.6391821,39.3036111,Paradise
2888,(B),(L),,,,,,-76.6244444,39.2917824,Tikki's
2889,(B),,,,,,,-76.6190907,39.2906696,Turf Lounge
2916,(M),(E),(B),,,,,-71.070457,42.338697,Bat Cave
2917,(M),(E),(B),,,,,-71.05888,42.360083,Doc's Place
3204,(B),,,,,,,-83.1428656,42.4096901,Bingo's
3218,(B),(YC),(D),(*),,,,-83.0495011,42.333382,Famous Door
3239,(B),,,,,,,-83.1063888,42.4200818,New York Book Store
3252,(YC),(M),(B),(WE),,,,-83.0216235,42.4343271,Todd's Sway Lounge
3462,(P),(BYOB),(B),,,,,-90.1905906,32.3020753,Bill's Disco & Show Bar
3472,(B),Cruisy Area,,,,,,-88.703656,32.36431,Trailways Bus Depot
3584,(B),(D),(PT),(*),,,,-90.2981473,38.6607357,Zebra Lounge
3688,(YC),(M),(B),(D),,,,-74.0062758,40.2175794,Rascals
3738,(R),(D),(B),,,,,-74.1387694,40.7320631,First Choice
3984,(WE),(*),(B),,,,,-74.0102763,40.732003,Keller's
3995,(F&S),(B),,,,,,-73.9855281,40.7328744,Metropolitan Theater
4045,(B),(D),(*),,,,,-73.9877249,40.7619279,Better Days
4046,(B),(W),(SM),,,,,-73.988792,40.7577,Blues
4106,(B),,,,,,,-73.9409813,40.805547,Mt. Morris Baths
4124,(M),(B),(L),Cruisy Area,,,,-73.773586,41.065135,Bronx River Park
4440,(B),,,,,,,-81.7004539,41.499484,Club West 9th
4879,(P),(L),(M),(B),(AH),,,-75.160238,39.9491045,Catacombs
4918,(B),(D),,,,,,-75.1555641,39.953346,Smart Place
4992,(M),(L),(B),,,,,-75.9273331,40.3390335,Glass Door
5082,(OC),(B),(RT),(N),,,,-71.4139348,41.8241986,Club Slades
5121,(B),(YC),(D),,,,,-81.0150516,34.0179431,Candy Shop
5214,(B),,,,,,,-90.045233,35.1428979,Apartment
5315,(B),(V),(PT),,,,,-94.1500086,30.1089327,Scandal's
5536,(B),(D),(*),,,,,-95.3953253,29.7439873,Studio 13
6086,(OC),(RT),(B),(M),,,,-87.9128899,43.0227415,Mint
6093,(P),(B),(D),,,,,-87.9092,43.0817989,Tina's
6120,(D),(L),(B),,,,,-92.1041987,46.7335755,Molly & Oscar's
